ItemName,ItemLocation,Manufacturer,Quantity,Servings Per,Servings Size,Units,Servings,ExpirationDate,Box,Manufactured Date,UPC,Damaged
Ragu Traditional Sauce,Basement Kitchen Cupboard,Ragu,1,5,125,grams,5,8/28/2016,23,,036200002506,
Hot Chili,Basement Kitchen Cupboard,Nalley,4,2,260,grams,8,8/29/2016,26,,041321241505,
Mini Ravioli,Basement Kitchen Cupboard,Chef Boyardee,6,2,244,grams,12,9/1/2016,25,,064144043064,
Chicken Rice Soup,Basement Kitchen Cupboard,Progresso,2,2,238,grams,4,9/7/2016,25,,041196010008,
Peppered Beef Jerky,Basement Kitchen Pantry,Great Value,4,6,28,grams,24,9/10/2016,18,,078742086644,
Ragu Traditional Sauce,Basement Kitchen Cupboard,Ragu,3,5,125,grams,15,9/19/2016,23,,036200002506,
Cream of Celery,Basement,Campbells,1,2.5,120,mL,2.5,9/26/16,147,,,
Sweet & Hot Beef Jerky,Basement Kitchen Pantry,Great Value,4,6,28,grams,24,10/14/2016,19,,078742086675,
Cream of Celery,Basement,Campbells,1,2.5,120,mL,2.5,11/3/16,147,,,
Chicken Noodle Soup,Basement Kitchen Pantry,Healthy Choice,5,2,243,grams,10,11/26/2016,21,,050100530297,
Chicken with Rice Soup,Basement Kitchen Pantry,Healthy Choice,5,2,240,grams,10,11/26/2016,21,,050100530297,
Clam Chowder,Basement,Campbells,1,2,240,mL,2,12/13/16,147,,,
Chicken Noodle Soup,Basement Kitchen Pantry,Campbells,10,10,120,milliliters,100,12/14/2016,21,,051000129383,
Roast Beef,Basement Kitchen Cupboard,Kirkland,12,4,56,grams,48,1/16/2017,25,,096619998456,
Chicken & Dumplings,Basement Kitchen,Swanson,12,2,1,Cup,24,2/25/2017,,,5100002413,
White Rice,Basement Kitchen Pantry,Minute,5,17,46,grams,85,3/1/2017,,,017400118105,
Creamy Potato Soup,Basement,Bear Creek,1.5,8,39,grams,12,3/20/2017,11,,,
Btrown Rice,Basement Kitchen Pantry,Minute,5,16,50,grams,80,4/1/2017,,,017400118501,
Germ-X Sanitizer,Basement Kitchen Pantry,Vi-Jon,2,1,10,ounces,2,4/1/2017,,,,
Ragu Traditional Sauce,Basement Kitchen Cupboard,Ragu,1,5,125,grams,5,4/9/2017,22,,036200002506,
Ragu Spaghetti Sauce,Basement,Ragu,6,5,125,grams,30,4/13/17,147,,,
Chicken Breast,Basement,Swansons,3,4,56,grams,12,4/17/2017,26,,,
Jaw Busters,Basement,Ferrara Candy,3,8,17,grams,24,4/18/2017,31,,,
Rice Sides,Basement Kitchen ,Knorr,10,2.5,65,g,25,4/29/17,144,,,
Spaghetti Sauce,Basement,Ragu,3,,1,large container,,6/1/2017,156,,,
Chili Beans,Basement,S&W,9,3.5,130,grams,31.5,6/23/2017,24,,,
Children's Tylenol,Basement,Tylenol,2,,120,mL,,09/01/2017,148,,,
Spaghetti Noodles,Basement Kitchen Pantry,Barilla,20,1,16,ounces,20,11/12/2017,27,,,
Infants' Tylenol,Basement,Tylenol,4,2 fl. oz.,,,8 fl. oz.,12/31/17,82,,,
Tooth Paste,Basement,Colgate,2,1,1,tube,2,1/1/2018,147,,,
