ItemName,ItemLocation,Manufacturer,Quantity,Servings Per,Servings Size,Units,Servings,ExpirationDate,Box,Manufactured Date,UPC,Damaged
Luvs DIapers,Basement,Luvs,192,1,22-37,lbs,192,,94,,,
Luvs DIapers,Basement,Luvs,192,1,22-37,lbs,192,,95,,,
Luvs DIapers,Basement,Luvs,222,1,16-28,lbs,222,,96,,,
Luvs DIapers,Basement,Luvs,222,1,16-28,lbs,222,,98,,,
Luvs DIapers,Basement,Luvs,240,1,12-18,lbs,240,,97,,,
Luvs DIapers,Basement,Luvs,240,1,12-18,lbs,240,,99,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,100,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,101,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,102,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,103,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,104,,,
Luvs DIapers,Basement,Luvs,264,1,8-14,lbs,264,,108,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,105,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,106,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,107,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,110,,,
Luvs DIapers,Basement,Luvs,264,1,8-14,lbs,264,,109,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,111,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,112,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,113,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,114,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,115,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,116,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,117,,,
Toilet Paper,Basement,AngelSoft,48,264,1,tissue,12672,,118,,,
Toilet Paper,Basement,AngelSoft,48,264,1,tissue,12672,,119,,,
Huggies DIapers,Basement,Huggies,88,1,Newborn,diaper,88,,120,,,
Huggies DIapers,Basement,Huggies,88,1,Newborn,diaper,88,,121,,,
Huggies DIapers,Basement,Huggies,88,1,Newborn,diaper,88,,122,,,
Huggies DIapers,Basement,Huggies,88,1,Newborn,diaper,88,,123,,,
Disinfecting Wipes,Basement,Clorox,4,78 Wet Wipes,1 Wipe,Wet wipes,78x4,,128,,,
Assorted Bandages,Basement,Curad,1,320 Bandages,1 Bandage,Bandage,320,,128,,,
Radio/Flashlight/Lantern,Basement,Weather X,1,,,Radio,,,128,,,
Insect Repellent Towelette,Basement ,Off!,11,1,1,Towelette,11,,128,,,
Small Flashlight Lantern,Basement,Dorcy,1,,,Flashlight,,,128,,,
Travel Size toothbrushes,Basement,Dr. Fresh Dailies,2,,,,,,128,,,
Travel Size ToothPaste,Basement,Colgate,1,0.85 oz.,,,,,128,,,
Clothing Wrinkle Rekeaser,Basement,Downy,1,2 fl. oz,,,,,128,,,
Anti-Aging Sun Block,Basement,Ocean Potion,1,6 fl. oz.,,,,,128,,,
Blessed Thistle,Basement,Nature's Sunshine,10,100 Capsules,1 Capsule,Capsules,1000,,129,,,
Candle,Basment,Glade,3,3.8 oz.,,,,,130,,,
Tealights - little candles,Basement,Everyday Living,100,,,,100,,131,,,
Herbs,Basement,,,,,,,,132,,,
Herbs,Basement,,,,,,,,133,,,
Catnip,Basement,Nature's Sunshine,8,100 Capsules,1 Capsule,Capsules,800,,134,,,
Marshmallow,Basement,Nature's Sunshine,8,100 Capsules,1 Capsule,Capsules,800,,134,,,
Fenugreek & Thyme,Basement,Nature's Sunshine,11,100 Capsules,1 Capsule,Capsules,1100,,134,,,
Pro Pancreas,Basement,Nature's Sunshine,17,100 Capsules,1 Capsule,Capsules,1700,,135,,,
Blood Sugar Formula,Basement,Nature's Sunshine,10,100 Capsules,1 Capsule,Capsules,1000,,135,,,
Trauma Oil,Basement,Herb Pharm,2,1 Fl. Oz.,,,,,135,,,
Adrenal Support,Basement,,10,,,,,,136,,,
Chromium GTF,Basement,,10,,,,,,136,,,
DHA,Basement,,8,,,,,,136,,,
Instant Yeast,Basement,Saf-instant,6,1 lb,,,,,137,,,
Red plastic cups,Basement,Kirkland,1,120,1,Plastic,120,,138,,,
Red plastic cups,Basement,Great Value,1,148,1,Plastic,148,,138,,,
Small Paper Plate,Basement,Solo,1,48,1,Paper,48,,138,,,
Paper Bowls,Basement,Dixie,1,26,1,Paper,26,,138,,,
Plastic Forks,Basement,Kroger,3,48,1,Plastic,144,,138,,,
Party Cups,Basement,Design Ware,1,12,1,Paper,12,,138,,,
Paper Shot Cups,Basement,Dixie,1,200,1,Paper,200,,138,,,
Plastic Cups,Basement,Shopper's Value,1,6,1,Plastic,6,,138,,,
Yellow bag full of cups,Basement,,about 5,about 12,1,Paper,about 60,,138,,,
Spoons,Basement,Carnival Cutlery,3,46,1,Plastic,138,,138,,,
Forks,Basement,Diamond,1,36,1,Plastic,36,,138,,,
Forks,Basement,Diamond,1,48,1,Plastic,48,,138,,,
Forks,Basement,Solo,1,115,1,Plastic,115,,138,,,
Assorted Silverwear,Basement,Party Express,1,118,3,Plastic,about 40,,138,,,
Bowls,Basement,Solo,1,50,1,Paper and Plastic,50,,138,,,
Paper Lunch Bags,Basement,Kroger,1,18,1,Paper,18,,138,,,
Compartment Tray plates,Basement,Hefty,1,40,1,,40,,138,,,
Water Cantine,Basement,,2,1,,,,,138,,,
Camping Kitchen set,Basement,,1,1,,Metal,,,138,,,
Wooden Bar-B-Que Skewers,Basement,Sensations,1,25,1,Wood,25,,138,,,
Rain Poncho,Basement,Ozark Trail,2,1,,,2,,139,,,
Bag of large bandages and rolled wrap,Basement,,,,,,,,139,,,
Bar of soap,Basement,Jergens,6,1,3 oz.,,6 bars,,139,,,
Bar of soap,Basement,Palmolive,3,1,4 oz.,,1 bar,,139,,,
Industrial Respirator (Painter's mask),Basement,,2,1,1,,,,139,,,
Umbrella,Basement,,1,,,,,,139,,,
Travel Sized Flashlight,Basement,Coleman,1,,,,,,139,,,
Lotion/body wash/soap/spray,Basement,Bath and Body Works,2 lotions,1 body wash,1 soap,1 perfume,,,139,,,
Lint Roller,Basement,KBI Designs,1,50,1,,50,,140,,,
Q-Tips,Basement,Swisspers,1,500,1,,500,,140,,,
Forks,Basement,Great Value,3,48,1,Plastic,144,,140,,,
Spoons,Basement,Great Value,2,74,1,Plastic,148,,140,,,
Knives,Basement,Great Value,1,48,1,Plastic,48,,140,,,
Men's Deoderant,Basement,Axe,5,1,3 oz.,,5,,140,,,
Medical Pads,Basement,Johnson + Johnson,1,10,1,,10,,140,,,
Men's Disposable Razors,Basement,Gillette,2,20,1,,40,,140,,,
Women's Disposable Razors,Basement,Gillette,1,7,1,,7,,140,,,
Floss,Basement,Oral-B Glide,1,4,43.7 yards,,4,,140,,,
Toilet Paper,Basement,AngelSoft,48,264,1,tissue,12672,,145,,,
Dixie Cups,Basement,Dixie,5,44,1,cup,220,,148,,,
Batteries (AA),Basement,Amazon,48,1,1,battery,48,,147,,,
Batteries (AAA),Basement,Amazon,36,1,1,battery,36,,147,,,
Maxi Pads,Basement,Always,170,1,1,pad,,,148,,,
Men Fash Wash,Basement,Dove,1,,694,mL,,,148,,,
Maxi Pads,Basement,Always,96,1,1,pad,96,,149,,,
Pearl,Basement,Tampax,96,1,1,Pearl,96,,149,,,
Soap,Basement,,,,,,,,149,,,
Lotion,Basement,,,,,,,,149,,,
Flashlight,Basement,,,,,,,,149,,,
Umbrella,Basement,,,,,,,,149,,,
Poncho,Basement,,,,,,,,149,,,
First Aid KIt,Basement,,,,,,,,149,,,
Cloth Diapers,Basement,Gerber,2,10,1,diaper,20,,149,,,
Safety Pins,Basement,Prym,1,4,1,pin,4,,149,,,
CoQ10,Basement,Nature's Sunshine,6,,,bottles,,,150,,,
Bee Pollen,Basement,Nature's Sunshine,1,,,bottles,,,150,,,
Liquid B-12,Basement,Nature's Sunshine,8,,,bottles,,,150,,,
Chicken Alfredo,Basement,,,,,,,,151,,,
Compleats,Basement,,,,,,,,151,,,
Angel Pasta Roni,Basement,,,,,,,,151,,,
Salsa,Basement,,,,,,,,151,,,
Spaghetti Sauce,Basement,,,,,,,,151,,,
Alfredo,Basement,,,,,,,,151,,,
Detergent,Basement,Tide,,180,1,load,180,,152,,,
Candle Holders,Basement,,,,,,15,,153,,,
Barbosol Shaving Cream,Basement,Barbosol,24,1,1,canister,,,154,,,
Spaghetti Sauce,Basement,Don,11,,,cans,,,155,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Basement Kitchen Pantry,,,,,,0,,,,,
